PT_NM,WMYR,WMOD,WMWK,ITEM_PH,ITEM_BOD,ITEM_COD,ITEM_TOC,ITEM_SS,ITEM_DOC,ITEM_TP,ITEM_TCOLI,ITEM_ECOLI,drink
이안천,2022,3,1회차,7.5,1.8,3.8,2.0,,12.3,,,,1
내성천3-1,2022,3,4회차,7.4,0.5,4.5,2.6,,11.2,,,,1
양화천-1,2020,3,1회차,7.1,1.5,4.8,2.8,,10.3,,,,1
복하천2-1,2020,3,1회차,7.0,8.0,8.7,3.4,,7.7,,,,0
청미천,2020,3,1회차,7.5,2.3,6.7,5.0,,12.8,,,,0
오갑천,2020,3,3회차,8.4,1.7,2.6,1.9,,14.8,,,,1
탄천1-1,2020,3,4회차,7.1,4.5,8.0,5.4,,8.1,,,,0
고부천1,2020,3,1회차,7.0,1.9,8.7,5.0,,11.6,,,,1
광양서천,2020,3,1회차,8.3,0.4,3.1,1.3,,11.3,,,,1
양재천,2020,3,3회차,8.0,2.0,5.1,2.9,,11.3,,,,1
목현천,2020,3,4회차,8.0,1.7,4.2,1.8,,10.9,,,,1
안양천-1,2020,3,1회차,8.3,1.0,2.9,1.2,,13.2,,,,1
안양천1A,2020,3,2회차,7.5,1.3,6.1,3.8,,10.3,,,,1
곤지암천-1,2020,3,3회차,8.9,1.2,2.8,1.6,,12.1,,,,0
곤지암천-2,2020,3,4회차,8.1,1.4,4.2,2.0,,10.4,,,,1
안양천3-2,2020,3,1회차,7.6,2.6,8.4,5.5,,11.1,,,,0
장진천,2020,3,4회차,8.0,2.9,7.0,3.2,,12.5,,,,0
장진천,2020,3,3회차,7.7,3.2,5.7,3.4,,11.8,,,,0
왕숙천1-1,2020,3,2회차,8.6,2.2,3.3,2.3,,11.4,,,,0
신천2-1,2020,3,3회차,7.8,3.8,10.2,7.5,,10.3,,,,0
문산천,2020,3,4회차,8.5,0.9,3.2,1.6,,11.6,,,,1
창릉천-1,2020,3,4회차,9.4,1.2,3.4,1.4,,12.0,,,,0
군위남천,2020,3,1회차,7.1,1.4,3.1,1.7,,15.4,,,,1
부남호3,2020,3,1회차,7.7,7.5,16.8,7.3,,12.7,,,,0
C천안천,2020,3,2회차,8.0,12.2,9.3,6.5,,9.8,,,,0
구포,2020,3,4회차,8.4,1.3,3.2,3.0,,11.9,,,,1
곰나루,2020,3,3회차,6.8,1.1,4.7,2.4,,14.3,,,,1
창릉천-1,2020,3,1회차,8.6,1.9,2.8,2.5,,11.8,,,,0
현도,2020,3,2회차,7.5,0.6,3.5,2.4,,14.0,,,,1
금당천-1,2020,3,1회차,7.0,0.1,1.5,1.0,,8.3,,,,1
백천내,2021,4,1회차,6.7,0.8,2.0,0.9,,10.1,,,,1
옴천천,2021,4,1회차,7.3,1.4,3.3,1.1,,9.9,,,,1
소양강댐3,2021,4,11,6.9,2.1,2.4,1.6,,11.1,,,,0
장만수천,2021,4,1회차,7.7,1.9,5.1,2.2,,10.6,,,,1
갑천4,2021,4,1회차,7.7,2.6,6.7,4.0,,10.5,,,,0
의암댐1,2021,4,45,8.6,0.9,4.6,2.8,,12.4,,,,0
포남,2021,4,1회차,8.6,1.3,3.2,2.3,,10.9,,,,0
선암댐,2019,1,15,8.1,0.8,5.0,3.5,,12.7,,,,1
수어댐2,2019,1,13,7.5,1.3,2.1,1.1,,12.2,,,,1
C가좌천,2019,1,1회차,7.5,120.0,135.5,102.8,,4.9,,,,0
한천-1,2019,1,2회차,8.1,0.5,2.7,1.4,,13.1,,,,1
욱수천,2019,1,1회차,8.2,1.0,6.1,4.6,,13.9,,,,1
욱수천,2019,1,2회차,8.5,1.5,6.6,5.3,,14.3,,,,1
포천천,2019,1,1회차,7.6,1.2,4.5,2.7,,15.4,,,,1
영평천2,2019,1,1회차,7.8,0.8,3.2,1.3,,16.3,,,,1
동복댐2,2019,1,11,6.9,1.6,3.0,2.0,,11.5,,,,1
죽산,2019,6,2회차,7.4,5.1,10.6,8.5,,8.9,,,,0
남원천1,2019,6,2회차,7.9,6.3,14.5,11.3,,7.9,,,,0
전주,2019,6,3회차,7.4,1.9,6.1,3.6,,7.8,,,,1
강천,2019,6,2회차,8.1,1.0,4.6,2.8,,9.9,,,,1
주암댐1,2019,6,41,7.9,1.4,4.2,4.3,,8.2,,,,1
주암댐,2019,6,4회차,7.2,0.9,3.2,3.4,,5.2,,,,1
대강,2019,6,3회차,7.6,1.6,7.3,7.3,,7.4,,,,1
악양,2019,6,4회차,7.8,1.2,5.9,4.9,,9.6,,,,1
문평천,2019,6,1회차,6.9,1.7,6.8,4.1,,8.2,,,,1
탄천4,2019,6,4회차,7.5,1.6,7.0,4.3,,8.8,,,,1
보광,2019,7,1회차,7.4,2.0,5.6,2.6,,4.9,,,,1
요도천,2021,4,1회차,8.5,3.8,9.0,4.5,,10.8,,,,0
병천천,2021,4,1회차,8.5,2.6,6.4,3.7,,10.6,,,,0
장평천,2021,4,1회차,7.8,1.9,5.1,2.6,,10.0,,,,1
영동천2,2021,4,1회차,8.4,0.8,4.2,2.3,,10.8,,,,1
추풍천,2021,4,4회차,8.5,1.8,4.9,2.4,,15.8,,,,1
계산,2021,4,4회차,7.5,1.9,4.2,2.5,,9.1,,,,1
양재천,2021,4,3회차,7.9,1.8,5.1,2.0,,15.0,,,,1
계양천,2021,4,1회차,8.3,4.6,7.3,3.8,,12.1,,,,0
영산호2,2019,1,15,7.6,1.5,5.5,3.4,,14.0,,,,1
산북천,2019,1,2회차,7.8,4.7,7.9,5.3,,13.7,,,,0
공주1,2019,1,1회차,7.9,1.5,5.9,3.8,,14.1,,,,1
한천,2019,1,3회차,7.7,2.0,4.4,2.7,,13.8,,,,1
곡교천2,2019,1,4회차,7.7,7.0,10.4,8.0,,10.2,,,,0
추령천,2019,1,1회차,7.7,0.7,2.4,1.6,,17.3,,,,1
지석천4,2019,1,3회차,8.3,1.4,4.3,3.4,,16.9,,,,1
하남,2019,1,2회차,8.3,0.6,6.1,2.7,,14.2,,,,1
가야천,2019,1,1회차,7.5,0.4,1.4,1.3,,14.9,,,,1
광주2-1,2019,1,1회차,7.0,4.1,6.0,4.1,,14.2,,,,0
구례,2019,1,4회차,7.6,0.9,3.7,2.0,,13.7,,,,1
김포,2019,1,1회차,7.8,1.3,4.7,2.5,,14.1,,,,1
삼랑진A,2021,4,4회차,8.3,1.4,5.0,3.5,,9.5,,,,1
물금,2021,4,2회차,8.4,3.0,6.3,4.3,,12.2,,,,0
골포천,2021,4,1회차,7.1,0.3,2.3,1.3,,10.8,,,,1
용계천,2021,4,4회차,8.4,4.2,7.7,6.1,,10.0,,,,0
율천,2019,7,1회차,7.0,1.3,4.3,8.0,,8.9,,,,1
월평천,2019,7,4회차,6.8,1.1,4.9,6.0,,7.7,,,,1
치천,2019,7,2회차,7.5,0.9,4.7,4.1,,9.7,,,,1
청미천,2019,7,3회차,8.0,3.8,7.2,4.1,,9.9,,,,0
임실,2019,7,1회차,6.8,0.8,4.3,3.5,,8.2,,,,1
덕은리,2021,4,4회차,8.1,1.1,3.5,,,12.0,,,,1
C오갑천,2021,4,2회차,9.2,2.0,4.0,3.7,,10.5,,,,0
C칠장천,2021,4,1회차,8.3,2.6,6.6,5.2,,11.3,,,,0
동계,2019,7,1회차,7.7,1.8,4.6,2.4,,7.8,,,,1
C산암리수로,2019,7,2회차,7.3,4.7,10.2,7.1,,6.4,,,,0
창릉천1,2019,7,1회차,7.7,0.8,5.3,3.2,,8.3,,,,1
람천2,2019,1,1회차,8.3,0.5,2.5,1.4,,14.5,,,,1
예당지3,2019,7,1회차,9.4,12.2,17.8,7.1,,18.9,,,,0
나주,2019,7,4회차,7.3,2.3,6.7,5.6,,8.6,,,,0
주암댐1,2019,7,31,8.6,1.7,4.7,3.7,,8.9,,,,0
조양강,2019,7,1회차,9.1,1.5,3.3,1.8,,9.2,,,,0
신어천,2019,7,1회차,9.4,22.9,28.0,7.9,,16.6,,,,0
곤지암천-2,2019,7,4회차,8.1,2.1,4.6,2.5,,8.0,,,,0
양화천2,2019,7,2회차,8.3,1.9,5.2,2.7,,8.6,,,,1
회인천,2019,7,1회차,7.9,0.8,2.6,1.1,,9.9,,,,1
공주2,2019,7,1회차,7.7,4.7,7.8,4.7,,9.1,,,,0
와룡천,2019,7,1회차,8.2,4.2,6.5,4.8,,10.0,,,,0
길산천,2019,7,1회차,8.0,4.1,13.9,11.2,,5.5,,,,0
장흥댐3,2019,7,11,9.3,2.4,2.5,2.1,,9.7,,,,0
C제4간선수로,2021,4,1회차,8.0,2.7,5.5,2.4,,9.8,,,,0
C신천-2,2021,4,1회차,7.7,6.9,11.3,5.4,,9.4,,,,0
대청댐3,2021,4,13,7.9,1.4,2.7,2.0,,13.1,,,,1
대암댐1,2021,4,11,8.0,1.0,3.9,2.4,,11.1,,,,1
광동댐,2019,1,15,7.7,3.0,3.3,1.8,,18.2,,,,0
사연댐1,2021,4,11,7.9,0.8,4.0,2.5,,11.1,,,,1
용담댐2,2021,4,11,7.6,1.5,2.9,1.6,,10.5,,,,1
용담댐2,2021,4,15,7.8,1.4,3.1,1.6,,10.0,,,,1
밀양댐2,2021,4,13,6.4,1.0,1.4,1.5,,11.1,,,,0
섬진강댐1,2021,4,13,7.4,1.9,3.4,2.0,,10.8,,,,1
섬진강댐3,2021,4,11,8.4,2.0,3.5,2.1,,11.1,,,,1
장흥댐3,2021,4,15,7.8,2.0,3.6,1.6,,11.8,,,,1
보현산댐,2021,4,13,7.3,0.8,5.8,4.4,,9.9,,,,1
낙동강하구3,2021,4,15,7.7,1.7,5.0,2.9,,11.9,,,,1
매포천,2021,4,1회차,8.4,1.5,2.4,1.3,,11.0,,,,1
평화의댐2,2021,4,11,8.2,2.1,1.9,1.0,,10.1,,,,0
운문댐2,2021,4,15,7.0,2.0,3.4,1.9,,11.8,,,,1
내가천,2021,4,1회차,6.9,2.9,8.6,4.2,,11.5,,,,0
산곡천,2021,4,1회차,7.9,1.0,3.6,1.8,,8.8,,,,1
길산천,2021,4,1회차,7.7,2.5,7.0,3.2,,9.5,,,,0
고막원천2-1,2019,6,1회차,6.5,5.7,13.7,7.4,,8.1,,,,0
고막원천2-1,2019,6,3회차,6.8,5.0,11.5,7.5,,9.4,,,,0
원천지3,2019,6,1회차,8.9,2.2,4.9,4.4,,10.5,,,,0
남양호2,2019,6,1회차,9.0,5.0,15.2,11.9,,10.3,,,,0
고막원천1,2019,6,1회차,7.3,1.8,7.0,4.4,,8.2,,,,1
계천2,2019,6,1회차,7.9,1.8,4.5,2.2,,10.5,,,,1
계산,2019,6,1회차,8.3,1.3,7.3,4.7,,10.0,,,,1
인북천2,2019,6,3회차,8.3,0.8,3.7,1.8,,10.0,,,,1
대호2,2019,6,15,8.4,5.0,13.3,7.9,,6.0,,,,0
진위천-1,2019,6,2회차,7.5,0.9,3.1,1.8,,8.0,,,,1
황강1-2,2019,6,3회차,7.8,1.9,6.3,3.8,,8.3,,,,1
오봉천,2019,6,3회차,7.1,1.1,3.2,1.8,,8.9,,,,1
신등천,2019,6,3회차,7.0,1.6,10.2,6.8,,8.1,,,,1
주암조정지댐1,2019,1,11,7.6,0.1,2.3,1.4,,9.4,,,,1
대곡댐2,2019,1,11,7.7,0.7,5.4,3.7,,9.5,,,,1
대곡댐2,2019,1,15,7.5,0.8,5.2,3.6,,9.6,,,,1
합천댐3,2019,1,15,7.8,0.4,2.4,2.4,,10.2,,,,1
용담댐1,2019,1,13,7.1,1.5,3.3,1.9,,8.1,,,,1
부안댐2,2019,1,11,6.9,1.2,2.6,1.8,,11.2,,,,1
용담댐1,2019,1,15,7.3,1.3,2.6,1.5,,6.2,,,,1
용담댐4,2019,1,15,7.7,1.1,3.5,2.0,,11.1,,,,1
거창동천2,2019,1,1회차,7.6,0.4,3.0,1.1,,13.3,,,,1
구포,2019,1,1회차,7.7,2.1,6.6,3.1,,9.9,,,,0
학성,2019,1,4회차,8.2,1.0,4.1,1.8,,12.0,,,,1
진전천,2019,1,1회차,7.8,0.6,1.8,0.6,,12.4,,,,1
C광려천,2019,1,1회차,9.0,1.2,6.7,3.1,,16.2,,,,0
C산암리수로,2019,1,1회차,7.5,1.4,9.4,5.8,,7.9,,,,1
영강1,2019,1,1회차,7.2,0.6,1.5,0.6,,17.9,,,,1
황강3,2019,1,1회차,7.3,0.4,3.1,2.4,,13.4,,,,1
덕천강2,2019,1,1회차,6.9,0.5,1.3,1.2,,14.4,,,,1
남강4,2019,1,1회차,8.0,1.7,4.3,3.2,,15.3,,,,1
주남저수지,2019,1,1회차,8.0,6.9,10.1,5.9,,14.4,,,,0
덕계천,2019,1,1회차,7.8,0.5,3.1,1.8,,14.8,,,,1
청미천1,2019,1,1회차,7.7,2.2,4.7,2.6,,12.4,,,,0
광천천,2021,4,1회차,7.8,4.0,11.2,7.1,,10.4,,,,0
입장천,2021,4,1회차,7.5,1.2,7.0,4.4,,9.7,,,,1
토평천1,2021,4,1회차,8.3,2.1,3.2,2.3,,14.4,,,,0
남강천,2021,4,1회차,8.0,0.5,2.8,1.5,,10.6,,,,1
남강1,2021,4,1회차,8.2,0.8,3.2,2.4,,11.0,,,,1
주항천,2019,6,1회차,7.3,3.4,9.5,6.5,,9.5,,,,0
한탄강2,2019,6,1회차,8.8,2.8,7.8,4.0,,9.1,,,,0
아라천2,2019,6,1회차,8.8,5.1,18.2,7.8,,13.2,,,,0
한천-2,2019,6,2회차,7.8,1.6,7.2,5.3,,8.0,,,,1
위천6,2022,1,2회차,8.4,1.4,5.4,3.6,,15.8,,,,1
하동,2019,1,3회차,7.1,0.9,3.7,2.2,,10.2,,,,1
관촌,2019,1,1회차,7.9,0.6,2.0,1.8,,17.9,,,,1
계산,2019,1,2회차,7.6,1.0,2.9,2.4,,14.5,,,,1
오수천,2019,1,2회차,8.0,1.0,3.0,2.7,,14.8,,,,1
옥계천,2019,1,1회차,7.4,0.3,3.1,2.0,,12.7,,,,1
신등천,2019,1,2회차,7.5,0.8,3.1,1.4,,14.5,,,,1
성덕,2019,1,1회차,7.3,0.7,2.2,1.7,,13.3,,,,1
탐진강1,2019,1,1회차,7.1,0.9,3.8,1.9,,14.0,,,,1
금호강4,2019,1,1회차,8.1,2.0,5.1,3.4,,14.8,,,,1
회천2-1,2022,1,2회차,7.9,0.9,3.1,1.6,,14.0,,,,1
섬강4-1,2021,4,2회차,8.4,1.7,4.4,2.6,,11.3,,,,1
팔당,2021,4,4회차,8.2,1.3,3.4,2.1,,10.3,,,,1
탄천4,2021,4,3회차,7.5,3.0,7.3,4.5,,8.4,,,,0
영춘,2021,4,1회차,8.4,0.4,2.6,1.2,,10.8,,,,1
동복댐1,2021,4,11,7.2,2.1,2.8,2.2,,11.7,,,,0
수홍천,2021,4,1회차,7.0,0.7,3.1,1.8,,10.9,,,,1
수홍천,2021,4,2회차,7.0,0.5,2.4,1.6,,12.6,,,,1
옴천천-1,2021,4,3회차,7.0,0.7,2.9,1.6,,10.0,,,,1
동복천1,2021,4,1회차,7.5,1.0,2.6,1.6,,11.3,,,,1
탐진강3,2021,4,4회차,9.6,4.9,10.1,3.9,,13.5,,,,0
요천-1,2021,4,3회차,7.8,1.5,4.3,2.6,,11.0,,,,1
오수천,2021,4,3회차,7.9,1.0,3.8,2.4,,11.4,,,,1
오수천,2021,4,4회차,8.4,1.4,3.5,2.2,,10.8,,,,1
지석천4,2021,4,4회차,8.4,3.9,8.1,3.6,,10.0,,,,0
지석천1A,2021,4,1회차,7.9,1.0,3.7,2.3,,11.1,,,,1
주남저수지,2021,4,1회차,6.7,1.6,8.6,6.2,,8.3,,,,1
칠장천,2021,4,1회차,8.1,1.5,7.9,4.4,,9.8,,,,1
내린천1,2021,4,2회차,7.9,1.0,3.1,1.3,,11.1,,,,1
백곡천1,2021,4,1회차,8.5,1.1,3.2,1.7,,11.2,,,,1
쌍천,2021,4,1회차,8.5,0.9,3.6,2.1,,11.9,,,,1
보성,2021,4,2회차,7.6,2.2,4.3,2.5,,10.8,,,,0
대강,2021,4,1회차,8.0,1.5,3.9,2.8,,11.5,,,,1
고부천3,2019,6,1회차,7.6,4.2,12.7,8.4,,8.1,,,,0
탑정지1,2019,6,13,8.3,1.9,4.8,2.6,,10.6,,,,1
초강1,2021,4,1회차,8.5,0.7,3.2,1.3,,10.9,,,,1
석천,2021,4,1회차,8.5,1.1,4.5,2.6,,11.4,,,,1
백천-1,2021,4,3회차,7.8,0.7,4.2,2.5,,10.8,,,,1
오봉천,2021,4,1회차,7.5,0.3,1.7,0.5,,11.4,,,,1
오봉천,2021,4,2회차,7.2,0.3,1.7,0.8,,11.2,,,,1
신등천,2021,4,3회차,8.3,1.6,4.7,3.0,,11.7,,,,1
영천강-1,2021,4,1회차,7.8,1.2,2.2,1.3,,12.9,,,,1
영천강-1,2021,4,3회차,9.4,1.5,3.2,1.6,,12.7,,,,0
성덕,2021,4,4회차,7.9,1.5,3.6,2.2,,9.7,,,,1
대종천,2019,1,1회차,7.0,1.1,1.8,2.0,,10.2,,,,1
목행대교,2019,1,2회차,7.7,0.4,1.9,,,12.0,,,,1
대청댐1,2019,1,23,7.6,0.6,4.4,2.9,,12.3,,,,1
대청댐,2019,1,2회차,7.7,0.6,4.4,2.9,,12.9,,,,1
세종1,2019,1,3회차,7.3,2.1,6.2,4.1,,12.6,,,,0
대교천2,2019,1,3회차,7.8,1.7,3.7,2.2,,13.2,,,,1
한탄강3-1,2021,4,1회차,8.3,1.0,4.0,1.2,,12.9,,,,1
아산호1,2021,4,11,7.9,0.9,8.0,4.1,,8.7,,,,1
C군자천,2021,4,2회차,7.9,3.4,3.8,2.0,,8.8,,,,0
C신천-1,2021,4,2회차,7.8,35.8,42.8,13.0,,8.0,,,,0
C건지천,2021,4,2회차,8.2,2.5,6.9,2.9,,9.4,,,,0
대청댐3,2021,4,11,8.1,1.3,2.9,2.0,,13.3,,,,1
대청댐6,2021,4,15,7.5,1.4,2.7,1.5,,11.5,,,,1
유구천,2019,1,3회차,7.4,0.7,2.0,1.0,,14.7,,,,1
연기,2019,1,4회차,7.6,1.8,6.9,4.4,,12.9,,,,1
서낙동강4,2019,1,1회차,8.3,2.6,6.4,3.4,,14.3,,,,0
충주댐4,2021,4,15,8.0,1.8,2.6,1.7,,11.6,,,,1
평림댐,2021,4,11,7.4,1.0,3.7,2.0,,10.2,,,,1
배내골,2021,4,1회차,7.1,0.9,0.9,0.9,,11.0,,,,1
탐진강1-1,2021,4,1회차,7.3,1.3,2.5,0.8,,11.0,,,,1
수어댐1,2021,4,13,7.7,1.2,3.2,1.5,,9.3,,,,1
안동댐2,2021,4,15,7.2,1.1,4.4,3.0,,10.5,,,,1
봉곡2교,2021,4,1회차,7.8,1.2,4.2,2.8,,11.2,,,,1
중랑천3,2021,4,1회차,7.5,1.9,4.7,3.1,,10.0,,,,1
오산천1-2,2021,4,1회차,7.8,1.6,6.2,5.2,,9.5,,,,1
춘천-1,2019,1,1회차,8.1,1.9,2.8,0.9,,13.8,,,,1
공주2,2019,1,3회차,7.7,2.5,6.1,3.8,,14.9,,,,0
묵현천,2021,4,4회차,7.5,1.1,4.6,,,9.6,,,,1
황구지천-1,2021,4,4회차,8.2,1.4,4.9,3.2,,9.4,,,,1
황구지천-2,2021,4,3회차,8.6,2.1,7.0,4.6,,11.7,,,,0
팔당댐3,2021,4,33,8.9,2.3,4.6,3.0,,12.8,,,,0
삼봉리,2021,4,3회차,8.3,1.3,2.7,1.5,,11.0,,,,1
대신,2021,4,3회차,9.0,1.8,4.3,2.9,,13.9,,,,0
인북천2,2021,4,4회차,8.6,0.5,2.1,1.1,,13.7,,,,0
용두천,2019,1,3회차,7.3,1.5,4.4,2.6,,15.2,,,,1
용수천-1,2019,1,3회차,7.8,0.7,2.1,0.9,,13.2,,,,1
동복댐1,2019,1,15,6.5,1.6,3.5,1.8,,10.7,,,,1
토일천,2019,1,1회차,7.6,0.3,2.8,1.8,,13.2,,,,1
미곡천,2019,1,1회차,7.2,0.4,3.4,1.8,,15.8,,,,1
부일천,2019,1,1회차,7.5,0.6,3.6,2.8,,13.9,,,,1
함평천2,2019,1,1회차,7.4,0.7,4.4,2.2,,15.2,,,,1
금강천,2019,1,1회차,7.2,0.8,3.6,1.6,,15.2,,,,1
영암호3,2019,1,11,7.5,1.0,4.9,3.4,,14.6,,,,1
남양호3,2019,1,1회차,7.6,2.8,9.9,5.4,,11.7,,,,0
죽령천,2021,4,1회차,8.4,0.8,2.5,1.3,,9.8,,,,1
김제,2021,4,2회차,7.4,5.7,11.1,6.1,,9.9,,,,0
탑천,2021,4,3회차,7.3,5.2,9.7,5.6,,8.7,,,,0
정읍천4,2021,4,2회차,7.7,3.1,9.0,5.1,,9.9,,,,0
동진강3,2021,4,1회차,8.6,4.4,8.7,4.5,,12.5,,,,0
신천2-1,2021,4,2회차,7.9,2.9,10.0,3.4,,9.7,,,,0
탄천1-1,2021,4,1회차,7.5,4.5,5.8,3.9,,8.3,,,,0
동막천,2021,4,1회차,8.1,1.4,3.3,1.9,,10.1,,,,1
나진포천,2021,4,3회차,8.4,6.8,7.1,5.9,,13.1,,,,0
오산천1,2021,4,4회차,7.9,1.1,2.4,1.3,,10.7,,,,1
청미천,2021,4,4회차,9.0,6.9,8.4,3.8,,14.4,,,,0
북하천,2021,4,4회차,7.8,0.4,1.6,0.8,,11.3,,,,1
대아지1,2021,4,11,7.9,0.5,2.6,1.6,,11.0,,,,1
C석탑천,2021,4,2회차,8.1,1.6,3.8,2.2,,11.6,,,,1
우치,2019,1,2회차,7.6,1.5,3.4,4.9,,14.1,,,,1
소양강댐1,2019,1,11,7.2,1.5,1.8,1.7,,8.0,,,,1
보청천4,2019,1,1회차,7.9,1.7,2.8,1.8,,15.8,,,,1
미호천8,2019,1,1회차,7.3,3.7,5.8,3.4,,15.6,,,,0
금강,2019,1,1회차,7.9,1.5,6.1,4.0,,14.5,,,,1
원평천3,2019,1,3회차,8.0,2.8,6.7,5.1,,15.3,,,,0
대청댐1,2019,1,41,7.6,0.5,4.4,2.6,,12.1,,,,1
신어천,2019,1,1회차,7.9,2.1,5.3,2.1,,14.6,,,,0
김제,2019,1,4회차,7.7,5.8,9.8,8.0,,13.1,,,,0
장성천2,2019,1,1회차,7.4,1.7,5.7,5.0,,14.2,,,,1
전주,2019,1,2회차,8.3,3.8,6.3,3.7,,14.3,,,,0
C소룡동수로,2021,4,1회차,8.7,12.2,17.7,6.0,,15.1,,,,0
내황,2021,4,1회차,7.9,0.7,5.3,2.4,,9.6,,,,1
구영,2021,4,1회차,8.0,1.0,3.0,1.9,,10.1,,,,1
명촌,2021,4,1회차,7.9,0.7,1.9,2.2,,9.3,,,,1
산곡,2021,4,1회차,8.2,1.9,7.0,,,10.9,,,,1
고령,2021,4,4회차,7.6,3.0,6.7,4.1,,12.5,,,,0
형산강2,2021,4,1회차,8.7,5.1,7.4,4.9,,11.8,,,,0
형산강4,2021,4,3회차,8.2,2.4,4.0,3.5,,8.4,,,,0
금호강2,2021,4,1회차,8.8,1.9,7.3,4.3,,10.5,,,,0
전주천1,2019,1,1회차,8.0,0.5,1.0,0.6,,12.6,,,,1
원주천2,2019,1,1회차,7.7,10.9,12.7,6.1,,11.9,,,,0
대청댐1,2019,1,15,7.7,0.6,4.3,2.7,,12.0,,,,1
소양강댐5,2019,1,13,7.5,1.6,2.0,1.9,,10.3,,,,1
소양강댐5,2019,1,15,7.5,1.8,2.0,1.9,,10.1,,,,1
논산천-1,2019,1,3회차,7.7,0.3,1.8,0.6,,13.9,,,,1
덕천천,2019,1,1회차,7.3,34.6,37.1,9.9,,5.5,,,,0
영산천,2019,1,3회차,7.7,2.5,5.5,4.8,,14.3,,,,0
금호강6,2021,4,1회차,7.3,4.0,9.0,6.7,,9.6,,,,0
대암-1,2021,4,1회차,8.1,2.5,6.0,4.5,,9.8,,,,0
대암-1,2021,4,3회차,8.4,1.5,6.3,4.9,,9.2,,,,1
경호강1,2021,4,4회차,8.0,1.1,3.6,1.9,,10.8,,,,1
구운천,2021,4,1회차,7.6,0.5,2.1,,,11.7,,,,1
벽계천,2021,4,4회차,8.2,0.3,2.2,,,10.5,,,,1
묵현천,2021,4,1회차,7.5,0.9,3.4,,,10.3,,,,1
포남,2019,1,1회차,8.9,1.9,2.7,1.5,,14.6,,,,0
경천지2,2019,1,13,7.2,0.2,4.9,1.9,,12.4,,,,1
동화호,2019,1,15,8.8,0.2,2.9,1.7,,12.8,,,,0
부안댐1,2019,1,13,6.7,0.3,3.2,2.6,,10.0,,,,1
연산천,2019,1,2회차,7.5,0.5,2.0,0.9,,13.6,,,,1
C제4간선수로,2019,1,1회차,7.8,15.9,13.9,8.6,,8.6,,,,0
김제,2019,1,1회차,7.8,6.4,9.6,7.1,,14.4,,,,0
C옥구천,2019,1,2회차,8.3,7.3,46.8,14.5,,8.3,,,,0
도산,2019,1,1회차,6.8,0.9,2.6,1.6,,15.5,,,,1
토일천,2019,1,2회차,7.7,0.4,3.0,0.5,,12.9,,,,1
감이천,2019,1,2회차,7.8,1.2,4.0,2.6,,13.6,,,,1
대청댐1,2019,1,13,7.6,0.7,4.3,2.9,,12.0,,,,1
부리,2019,1,1회차,7.9,0.6,3.9,2.2,,15.7,,,,1
금상천,2019,1,1회차,7.9,0.3,1.8,0.9,,14.4,,,,1
추풍천,2019,1,1회차,7.8,0.5,1.7,0.8,,16.6,,,,1
보강천1,2019,1,1회차,7.5,0.7,2.9,1.6,,13.8,,,,1
정동,2019,1,1회차,7.6,1.1,5.5,3.4,,15.9,,,,1
정자천,2019,1,3회차,7.1,0.4,2.0,0.9,,13.4,,,,1
노량진,2019,1,4회차,8.1,1.6,4.7,2.5,,13.8,,,,1
안성천3,2019,1,1회차,8.3,1.9,6.4,3.0,,13.3,,,,1
팔당댐2,2019,1,41,7.2,0.9,3.2,1.8,,13.6,,,,1
문호천,2019,1,1회차,8.3,0.7,1.6,0.9,,13.5,,,,1
팔당댐2,2019,1,51,8.7,1.0,3.2,1.8,,13.0,,,,0
석관천,2019,1,1회차,7.2,0.3,2.0,1.0,,13.8,,,,1
흑천1-1,2019,1,1회차,8.0,0.7,1.9,0.9,,12.8,,,,1
흑천1-1,2019,1,2회차,7.6,0.5,1.7,0.7,,12.5,,,,1
부기천,2019,1,1회차,7.2,0.4,6.4,5.0,,13.5,,,,1
가정천,2019,1,2회차,8.1,0.3,1.3,0.6,,13.5,,,,1
순천동천2,2019,1,1회차,8.4,3.0,5.3,2.9,,15.3,,,,0
안양천3-2,2021,4,4회차,7.5,3.5,9.9,4.8,,7.8,,,,0
왕숙천-1,2021,4,2회차,8.2,0.5,2.0,0.7,,12.6,,,,1
용암천,2021,4,2회차,8.5,1.5,4.0,1.7,,11.8,,,,1
양재천,2021,4,2회차,8.5,1.7,6.6,2.0,,15.3,,,,1
창녕,2021,4,1회차,8.1,1.4,6.4,3.4,,10.3,,,,1
용담,2021,4,1회차,7.4,0.3,2.9,2.6,,10.7,,,,1
용담,2021,4,3회차,7.2,0.3,3.9,2.3,,11.0,,,,1
무주남대천-2,2021,4,1회차,8.0,1.4,4.3,2.0,,11.7,,,,1
금상천,2021,4,3회차,7.9,0.5,3.5,2.0,,12.4,,,,1
대청댐,2021,4,2회차,7.9,0.8,4.3,2.3,,10.9,,,,1
대청,2021,4,4회차,8.2,1.2,5.5,3.7,,11.8,,,,1
세종1,2021,4,5회차,7.9,2.5,6.5,3.9,,11.2,,,,0
미호천1-1,2021,4,5회차,7.1,10.9,9.8,5.5,,9.1,,,,0
한천,2021,4,4회차,8.1,1.4,5.9,3.3,,15.7,,,,1
영천강-1,2019,1,1회차,8.0,0.5,1.9,1.1,,13.7,,,,1
가창댐1,2019,1,1회차,7.0,1.2,3.4,1.8,,11.8,,,,1
