PT_NM,WMYR,WMOD,WMWK,ITEM_PH,ITEM_BOD,ITEM_COD,ITEM_TOC,ITEM_SS,ITEM_DOC,ITEM_TP,ITEM_TCOLI,ITEM_ECOLI,drink
곡정천,2020,5,3회차,7.8,1.4,9.0,7.5,,11.8,,,,1
말지천,2020,5,2회차,7.4,2.1,8.9,6.8,,9.7,,,,0
한천-1,2020,5,4회차,8.4,3.9,11.8,8.9,,10.7,,,,0
백천-1,2020,5,3회차,7.6,0.6,4.0,3.1,,9.6,,,,1
낙단,2020,5,1회차,8.0,1.8,5.0,3.8,,11.9,,,,1
낙단,2020,5,4회차,7.8,1.8,6.5,5.3,,9.4,,,,1
선산,2020,5,3회차,7.0,1.5,4.9,4.2,,9.0,,,,1
백천,2020,5,3회차,7.7,2.3,5.6,,,8.8,,,,0
토평천2,2020,5,2회차,7.6,9.3,15.9,13.9,,7.8,,,,0
선암댐,2020,5,11,8.3,1.3,4.4,2.7,,9.2,,,,1
임하댐2,2020,5,11,7.4,0.8,4.5,3.8,,8.9,,,,1
임하댐3,2020,5,13,7.4,0.5,3.8,3.1,,9.6,,,,1
대청댐4,2020,5,11,8.6,1.3,2.5,2.0,,8.3,,,,0
용담댐2,2020,5,11,7.1,0.8,2.0,1.9,,10.1,,,,1
횡성댐2,2020,5,13,7.2,2.4,2.8,2.1,,8.4,,,,0
수어댐1,2020,5,11,8.1,1.4,2.7,1.5,,10.4,,,,1
군위댐1,2020,5,13,6.9,0.3,5.5,3.4,,10.1,,,,1
군위댐2,2020,5,11,7.6,0.3,5.5,3.3,,10.1,,,,1
김천부항댐,2020,5,15,7.2,1.0,4.7,2.2,,8.9,,,,1
장흥댐1,2020,5,11,7.4,1.4,3.3,1.9,,11.5,,,,1
구천댐,2020,5,11,7.4,1.7,4.3,1.9,,10.2,,,,1
연초댐2,2020,5,13,7.3,1.1,4.9,2.3,,8.8,,,,1
대암댐1,2020,5,15,7.6,1.2,3.4,2.0,,3.0,,,,1
선암댐,2020,5,13,8.0,1.3,4.1,2.6,,7.8,,,,1
용담댐3,2020,5,15,7.1,0.4,1.8,1.6,,9.7,,,,1
팔당댐1,2020,5,23,7.3,0.4,2.8,1.8,,8.6,,,,1
팔당댐1,2020,5,41,7.1,0.6,3.6,2.4,,8.8,,,,1
팔당댐1,2020,5,43,7.1,0.6,3.7,2.4,,8.8,,,,1
팔당댐1,2020,5,45,7.1,0.6,3.8,2.4,,8.6,,,,1
팔당댐2,2020,5,14,7.5,1.0,2.8,1.8,,9.4,,,,1
팔당댐2,2020,5,24,7.0,0.5,2.7,1.7,,7.8,,,,1
팔당댐3,2020,5,35,7.3,1.4,3.4,2.3,,9.4,,,,1
영천댐1,2020,5,11,7.8,2.8,4.0,3.2,,9.8,,,,0
평림댐,2020,5,11,7.9,0.6,3.6,2.0,,10.1,,,,1
평림댐,2020,5,13,7.8,0.5,3.4,1.8,,10.4,,,,1
유동천2,2020,5,1회차,8.5,1.8,3.1,1.4,,10.3,,,,1
동복천2,2020,5,1회차,8.2,0.7,2.8,1.4,,10.1,,,,1
대청댐5,2020,5,15,7.4,0.8,1.7,1.8,,7.6,,,,1
영천댐2,2020,5,13,7.8,3.1,5.7,3.1,,9.9,,,,0
영천댐2,2020,5,15,7.8,3.0,4.5,3.2,,9.5,,,,0
합천댐3,2020,5,11,10.6,1.6,2.8,2.0,,9.7,,,,0
합천댐3,2020,5,15,9.7,1.6,2.8,1.8,,6.0,,,,0
주암조정지댐1,2020,5,13,6.6,0.4,2.4,1.2,,10.0,,,,1
보령댐3,2020,5,13,8.3,1.7,4.2,1.4,,10.2,,,,1
용담댐3,2020,5,11,7.7,0.8,2.0,1.7,,10.5,,,,1
회룡천,2019,1,1회차,7.9,0.4,2.3,0.9,,13.9,,,,1
다사,2019,1,2회차,7.8,1.5,4.2,3.8,,13.2,,,,1
논공,2019,1,2회차,7.9,1.6,5.1,4.2,,13.7,,,,1
덕곡,2019,1,3회차,7.7,2.2,5.1,4.1,,14.0,,,,0
신반천,2019,1,2회차,7.5,1.7,3.9,,,13.6,,,,1
석곡천,2019,8,3회차,6.7,1.3,4.6,2.9,,7.0,,,,1
미천,2019,1,1회차,7.4,0.9,3.2,2.5,,14.2,,,,1
내성천3-1,2019,1,4회차,7.5,1.5,2.8,1.7,,13.7,,,,1
금호강1A,2019,1,1회차,7.8,1.2,5.7,4.4,,13.7,,,,1
남강2A,2019,1,2회차,7.5,1.3,4.3,3.0,,13.6,,,,1
남강4-1,2019,1,4회차,7.9,2.9,4.9,3.4,,13.9,,,,0
물금,2019,1,3회차,8.0,2.4,5.0,4.3,,14.9,,,,0
골포천,2019,1,2회차,7.8,0.3,2.2,0.8,,14.1,,,,1
광려천3,2019,1,1회차,7.7,2.1,4.6,3.4,,15.5,,,,0
왜관,2019,1,2회차,7.4,1.9,4.3,3.8,,14.0,,,,1
광주1,2019,1,1회차,7.2,2.5,3.5,2.7,,15.2,,,,0
담양,2019,1,4회차,8.0,2.4,4.7,2.7,,14.6,,,,0
영산호2,2019,1,13,7.6,1.8,6.4,3.6,,13.9,,,,1
부여2,2019,1,3회차,7.8,2.5,5.2,3.5,,14.9,,,,0
양화-1,2019,1,1회차,8.0,3.8,5.9,4.1,,17.8,,,,0
탑정지2,2019,1,11,8.2,0.9,3.9,2.4,,14.5,,,,1
도림천,2019,1,1회차,7.3,1.6,2.6,2.1,,15.9,,,,1
보청천3,2022,5,3회차,8.0,1.0,5.9,3.3,,10.3,,,,1
대청댐,2022,5,1회차,8.1,0.8,4.3,2.5,,10.8,,,,1
세종1,2022,5,1회차,8.3,1.4,5.8,3.5,,12.7,,,,1
고부천1,2022,5,1회차,8.8,4.7,11.6,5.7,,10.8,,,,0
정읍천1,2022,5,1회차,8.0,0.8,3.3,1.6,,10.1,,,,1
팔당댐2,2022,5,55,7.3,0.9,3.2,2.1,,4.3,,,,1
팔당댐3,2022,5,33,9.1,2.9,4.6,2.7,,12.3,,,,0
달천4,2019,1,2회차,7.6,1.1,2.0,0.7,,13.4,,,,1
충주댐,2019,1,1회차,8.3,0.7,2.8,1.0,,10.5,,,,1
운암,2019,1,1회차,8.8,4.4,6.1,2.7,,15.0,,,,0
대아지1,2019,1,15,7.6,0.2,3.0,1.7,,11.9,,,,1
C비응도동수로,2019,1,1회차,8.3,1.5,23.1,4.9,,14.6,,,,1
학성,2019,1,2회차,8.4,0.4,5.1,2.1,,12.0,,,,1
구의,2022,5,2회차,8.5,1.2,3.8,2.4,,9.9,,,,1
탄천4,2022,5,2회차,7.2,2.5,7.5,5.2,,8.3,,,,0
노량진,2022,5,1회차,8.0,2.7,5.3,3.8,,9.9,,,,0
행주,2022,5,4회차,8.4,3.5,6.1,4.3,,10.0,,,,0
영춘,2022,5,2회차,8.8,0.8,2.9,1.6,,9.4,,,,0
복하천4,2022,5,4회차,8.4,1.8,6.6,4.9,,9.2,,,,1
경안천3A,2022,5,2회차,8.9,6.8,9.8,4.9,,12.4,,,,0
여주1,2022,5,3회차,8.2,0.7,2.7,,,11.2,,,,1
여주2,2022,5,1회차,7.8,1.3,4.2,2.4,,10.4,,,,1
오산천2-1,2022,5,3회차,7.4,6.1,9.4,6.5,,7.9,,,,0
오산천2-1,2022,5,4회차,7.5,11.7,10.8,7.1,,8.9,,,,0
공주2,2022,5,2회차,9.2,5.5,8.0,4.0,,10.8,,,,0
부여1,2022,5,2회차,9.5,5.8,8.7,4.0,,11.4,,,,0
부여2,2022,5,2회차,9.2,4.2,7.2,3.8,,9.4,,,,0
강경천,2022,5,1회차,8.4,7.4,9.5,7.0,,9.3,,,,0
삽교천3,2022,5,1회차,7.9,4.7,8.3,6.6,,9.5,,,,0
금강하구2,2022,5,1회차,8.2,2.1,6.7,3.8,,9.1,,,,0
대호2,2022,5,11,8.1,4.2,12.8,6.5,,10.0,,,,0
부남호2,2022,5,1회차,8.9,4.5,12.2,10.1,,9.3,,,,0
탑정지1,2022,5,11,8.3,2.5,3.4,3.1,,8.8,,,,0
탑정지1,2022,5,15,7.6,1.4,3.3,1.9,,7.8,,,,1
